,KEY,ID RESTAURANT,GRADE,CAMIS,DBA,Latitude,Longitude,Cluster,Data Source,PREDICTED_SCORE,Exponential Smoothed Score,Probabilistic risk Score,i1,i2,i3,i4,i5,v1,v2,v3,v4,v5,Number of Inspections,LAST VIOLATIONS,inspection_date_1,inspection_date_2,inspection_date_3,inspection_date_4,inspection_date_5,LAST INSPECTION
21027,50140772-20231128,50140772,A,50140772,LAKSA SHOP,40.75406824,-73.98232117,5,Test,10.04897527,10.04897527,11.39239975,10,,,,,04A,,,,,1,04A,20231128,,,,,20231128
21028,50140791-20231130,50140791,A,50140791,VESELKA,40.75248637,-73.97726856,0,Test,2.783646179,2.772328623,3.142954884,2,,,,,10F,,,,,1,10F,20231130,,,,,20231130
21029,50140809-20230905,50140809,A,50140809,STONE FIRE PIE,40.61556523,-73.96344452,0,Test,12.3921422,12.39496927,14.05202431,12,,,,,"04A,10F",,,,,1,"04A,10F",20230905,,,,,20230905
21030,50140823-20230912,50140823,A,50140823,TANG BY MR SUN,40.77602747,-73.9560302,1,Test,11.36151348,11.36151348,12.88040819,10,,,,,"04J,06C",,,,,1,"04J,06C",20230912,,,,,20230912
21031,50140828-20230928,50140828,A,50140828,IRON AGE,40.73342817,-73.86417003,0,Test,7.952513218,7.935797959,8.996716605,8,,,,,"06E,10F",,,,,1,"06E,10F",20230928,,,,,20230928
21032,50140852-20231207,50140852,A,50140852,12 CHAIRS CATERING,40.72787357,-74.00181842,0,Test,10.27535107,10.30672122,11.68460316,10,,,,,"02B,10F",,,,,1,"02B,10F",20231207,,,,,20231207
21033,50140854-20230926,50140854,A,50140854,SUPER SMOOTHIES NUTRITION,40.70150657,-73.90857417,5,Test,9.592728591,9.592728591,10.8751585,10,,,,,"04H,10B",,,,,1,"04H,10B",20230926,,,,,20230926
21034,50140858-20230905,50140858,A,50140858,MADE IN NEW YORK PIZZA,40.73554779,-74.00601519,0,Test,2.783646179,2.772328623,3.142954884,2,,,,,10F,,,,,1,10F,20230905,,,,,20230905
21035,50140876-20230905,50140876,A,50140876,KEBAB EXPRESS,40.73046736,-74.00254733,0,Test,10.3996766,10.45075022,11.84788707,10,,,,,"02G,10F",,,,,1,"02G,10F",20230905,,,,,20230905
21036,50140881-20240104,50140881,A,50140881,GRANDMA'S CHEESE BROOKLYN,40.6043521,-73.97061722,0,Test,13.40751279,13.33097101,15.11315798,13,,,,,"06A,06B,10F",,,,,1,"06A,06B,10F",20240104,,,,,20240104
21037,50140902-20230907,50140902,A,50140902,FOR U,40.7342626,-73.98645436,3,Test,12.34235986,12.34235986,13.99238168,13,,,,,"04L,08A,10H",,,,,1,"04L,08A,10H",20230907,,,,,20230907
